RA;TURMA;TURMA_NOME
11202021730;NB1BCJ0204-15SA;Fenômenos Mecânicos B1-Noturno (Santo André)
11202021730;NB2BCN0402-15SA;Funções de Uma Variável B2-Noturno (Santo André)
11201721357;NAMCZB012-13SA;Inferência Estatística A-Noturno (Santo André)
11201721357;NAMCZB016-13SA;Introdução à Estatística Bayesiana A-Noturno (Santo André)
11201721357;DAMCTC014-13SA;Introdução à Inferência Estatística A-Matutino (Santo André)
11201721357;DA2BCS0002-15SA;Projeto Dirigido A2-Matutino (Santo André)
11201810096;NA2MCTA003-17SA;Análise de Algoritmos A2-Noturno (Santo André)
11201810096;DA2MCTA009-13SA;Computadores, Ética e Sociedade A2-Matutino (Santo André)
11201810096;NA1BCS0002-15SA;Projeto Dirigido A1-Noturno (Santo André)
11201810096;DA2MCTA024-13SA;Sistemas Digitais A2-Matutino (Santo André)
11201810096;NA1MCTA025-13SA;Sistemas Distribuídos A1-Noturno (Santo André)
11201920715;NA2BCS0002-15SA;Projeto Dirigido A2-Noturno (Santo André)
11202131793;NA1BIQ0602-15SA;Estrutura e Dinâmica Social A1-Noturno (Santo André)
11202131793;NA2BCJ0205-15SA;Fenômenos Térmicos A2-Noturno (Santo André)
11202131793;NA4BCM0505-15SA;Processamento da Informação A4-Noturno (Santo André)
11202131793;NA3BCL0307-15SA;Transformações Químicas A3-Noturno (Santo André)
21071316;NA1NHZ2093-16SB;Corpo, sexualidade e questões de gênero A1-Noturno (São Bernardo)
21071316;DA1LHZ0021-19SB;História, Patrimônio e Memória A1-Matutino (São Bernardo)
21071316;NA1ESHT017-17SB;Planejamento e Política Ambiental A1-Noturno (São Bernardo)
21071316;NA1BHS0005-19SB;Práticas em Ciências e Humanidades A1-Noturno (São Bernardo)
11202130247;DB5BCJ0205-15SA;Fenômenos Térmicos B5-Matutino (Santo André)
11202130247;DB2BCN0407-15SA;Funções de Várias Variáveis B2-Matutino (Santo André)
11202130247;DB7BCM0505-15SA;Processamento da Informação B7-Matutino (Santo André)
11202130247;DB4BCL0307-15SA;Transformações Químicas B4-Matutino (Santo André)
11202022047;NA1ESZR002-13SB;Cultura, Identidade e Política na América Latina A1-Noturno (São Bernardo)
11202022047;NA1BHO0102-15SB;Desenvolvimento e Sustentabilidade A1-Noturno (São Bernardo)
11202022047;NA1BHO1102-19SB;Introdução à Economia A1-Noturno (São Bernardo)
11202022047;NA1BHO0001-19SB;Introdução às Humanidades e às Ciências Sociais A1-Noturno (São Bernardo)
11202022047;NA1ESHP019-13SB;Regimes e Formas de Governo A1-Noturno (São Bernardo)
11202131260;DA2BCL0306-15SB;Biodiversidade: Interações entre organismos e ambiente A2-Matutino (São Bernardo)
11202131260;DA1BHQ0002-15SB;Estudos Étnico-Raciais A1-Matutino (São Bernardo)
11202131260;DA1BHP0001-15SB;Ética e Justiça A1-Matutino (São Bernardo)
11202131260;DA1BHO1102-19SB;Introdução à Economia A1-Matutino (São Bernardo)
11202131260;DA1BHQ0301-15SB;Território e Sociedade A1-Matutino (São Bernardo)
11202130253;NB3BCJ0205-15SA;Fenômenos Térmicos B3-Noturno (Santo André)
11202130253;NB1BCN0402-15SA;Funções de Uma Variável B1-Noturno (Santo André)
11202130253;NB1LIE0001-19SA;Metodologias de Pesquisa em Educação B1-Noturno (Santo André)
11202130253;NB4BCM0505-15SA;Processamento da Informação B4-Noturno (Santo André)
11201810412;DA1MCTA003-17SA;Análise de Algoritmos A1-Matutino (Santo André)
11201810412;DA1MCTA009-13SA;Computadores, Ética e Sociedade A1-Matutino (Santo André)
11201810412;DA1BCN0405-15SA;Introdução às Equações Diferenciais Ordinárias A1-Matutino (Santo André)
11201810412;DAMCTB019-17SA;Matemática Discreta A-Matutino (Santo André)
11201720328;NA1ESZR002-13SB;Cultura, Identidade e Política na América Latina A1-Noturno (São Bernardo)
11201720328;DA1ESTA018-17SA;Eletromagnetismo Aplicado A1-Matutino (Santo André)
11201720328;DA1ESTO013-17SB;Engenharia Econômica A1-Matutino (São Bernardo)
11201720328;DA1ESZA020-17SA;Robôs Móveis Autônomos A1-Matutino (Santo André)
11201720088;NA1ESTO011-17SA;Fundamentos de Desenho Técnico A1-Noturno (Santo André)
11201720088;DA1NHZ4035-15SA;Processos Industriais Orgânicos e Inorgânicos A1-Matutino (Santo André)
11202131266;DA1BIR0004-15SA;Bases Epistemológicas da Ciência Moderna A1-Matutino (Santo André)
11202131266;DB1BIQ0602-15SA;Estrutura e Dinâmica Social B1-Matutino (Santo André)
11202131266;DB6BCM0505-15SA;Processamento da Informação B6-Matutino (Santo André)
11202131266;DB5BCL0307-15SA;Transformações Químicas B5-Matutino (Santo André)
11202210016;NC1NHI5002-15SA;Didática C1-Noturno (Santo André)
11202210016;DB1LIE0001-19SA;Metodologias de Pesquisa em Educação B1-Matutino (Santo André)
11202130036;NA3BCL0306-15SB;Biodiversidade: Interações entre organismos e ambiente A3-Noturno (São Bernardo)
11202130036;NA1BHO0102-15SB;Desenvolvimento e Sustentabilidade A1-Noturno (São Bernardo)
11202130036;NA2BHQ0002-15SB;Estudos Étnico-Raciais A2-Noturno (São Bernardo)
11202131855;DB1BIR0004-15SA;Bases Epistemológicas da Ciência Moderna B1-Matutino (Santo André)
11202131855;DB1BCN0402-15SA;Funções de Uma Variável B1-Matutino (Santo André)
11201721154;DA1ESZB027-17SB;Engenharia de Reabilitação e Biofeedback A1-Matutino (São Bernardo)
11201721154;NDESTO902-17SB;Engenharia Unificada I D-Noturno (São Bernardo)
11201721154;NA1ESTB024-17SB;Modelagem de Sistemas Dinâmicos II A1-Noturno (São Bernardo)
11202021848;DA1BCS0001-15SB;Base Experimental das Ciências Naturais A1-Matutino (São Bernardo)
11202021848;DA1BIQ0602-15SB;Estrutura e Dinâmica Social A1-Matutino (São Bernardo)
11202021848;DB2BCN0407-15SB;Funções de Várias Variáveis B2-Matutino (São Bernardo)
11202021848;DB1BCK0104-15SB;Interações Atômicas e Moleculares B1-Matutino (São Bernardo)
21084616;DA2BIS0005-15SB;Bases Computacionais da Ciência A2-Matutino (São Bernardo)
21084616;DA1BCJ0204-15SB;Fenômenos Mecânicos A1-Matutino (São Bernardo)
21084616;DAMCTC014-13SA;Introdução à Inferência Estatística A-Matutino (Santo André)
11201810316;NB1BIR0004-15SA;Bases Epistemológicas da Ciência Moderna B1-Noturno (Santo André)
11201810316;NA1ESTO017-17SA;Métodos Experimentais em Engenharia A1-Noturno (Santo André)
11201921084;NB1ESHR903-18SB;Metodologia de Pesquisa em Relações Internacionais (TCC 1) B1-Noturno (São Bernardo)
11201921084;NA1ESHT012-17SB;Mobilização Produtiva dos Territórios e Desenvolvimento Local A1-Noturno (São Bernardo)
11111013;NC1ESTO902-17SA;Engenharia Unificada I C1-Noturno (Santo André)
11111013;DA1ESTU009-17SA;Hidrologia A1-Matutino (Santo André)
11111013;NA1ESTU040-17SA;Projeto Ambiental Urbano A1-Noturno (Santo André)
11111013;NA1ESTU031-17SA;Recuperação de Áreas Degradadas A1-Noturno (Santo André)
11111013;NA1ESZU030-17SA;Riscos no Ambiente Urbano A1-Noturno (Santo André)
11010416;NA3NHI5015-15SA;LIBRAS A3-Noturno (Santo André)
21046815;DA1ESHC035-21SB;Econometria I A1-Matutino (São Bernardo)
21046815;DA1ESHC027-17SB;Economia Matemática A1-Matutino (São Bernardo)
21046815;DA1ESHC016-17SB;Finanças Corporativas A1-Matutino (São Bernardo)
21046815;DA1ESHC022-17SB;Macroeconomia I A1-Matutino (São Bernardo)
11012216;NAMCTB012-13SA;Equações Diferenciais Parciais A-Noturno (Santo André)
11012216;NAMCTB014-17SA;Extensões Algébricas A-Noturno (Santo André)
11012216;DAMCTB024-13SA;Trabalho de Conclusão de Curso em Matemática I A-Matutino (Santo André)
11012216;DAMCTB025-13SA;Trabalho de Conclusão de Curso em Matemática II A-Matutino (Santo André)
11202130433;DB1BIS0003-15SB;Bases Matemáticas B1-Matutino (São Bernardo)
11202130433;DA1BIQ0602-15SB;Estrutura e Dinâmica Social A1-Matutino (São Bernardo)
11202130433;DB1BHQ0002-15SB;Estudos Étnico-Raciais B1-Matutino (São Bernardo)
11202130433;DB1BHP0001-15SB;Ética e Justiça B1-Matutino (São Bernardo)
11202130433;DB1BHQ0301-15SB;Território e Sociedade B1-Matutino (São Bernardo)
11062615;DA1NHZ4061-15SA;Introdução a Troca de Calor, Massa e Movimentação de Fluidos A1-Matutino (Santo André)
11062615;DA1NHZ4035-15SA;Processos Industriais Orgânicos e Inorgânicos A1-Matutino (Santo André)
11062615;NA1NHT4056-15SA;Química Inorgânica Experimental A1-Noturno (Santo André)
11201811020;NA2MCTA003-17SA;Análise de Algoritmos A2-Noturno (Santo André)
11201811020;NA2MCTA009-13SA;Computadores, Ética e Sociedade A2-Noturno (Santo André)
11201811020;NA2MCTA024-13SA;Sistemas Digitais A2-Noturno (Santo André)
11074114;NAMCTB012-13SA;Equações Diferenciais Parciais A-Noturno (Santo André)
11074114;DB1ESTO012-17SA;Princípios de Administração B1-Matutino (Santo André)
11201921802;NA1NHZ2093-16SB;Corpo, sexualidade e questões de gênero A1-Noturno (São Bernardo)
11201921802;NA1ESZR002-13SB;Cultura, Identidade e Política na América Latina A1-Noturno (São Bernardo)
11201921802;NA2MCTC001-15SB;Introdução à Filosofia da Mente A2-Noturno (São Bernardo)
11201921802;NA1MCTC021-15SB;Introdução à Neurociência Computacional A1-Noturno (São Bernardo)
11201921802;NA1MCTC009-15SB;Progressos e Métodos em Neurociência A1-Noturno (São Bernardo)
11201921802;DA1MCZC018-20SB;Psicopatologia A1-Matutino (São Bernardo)
11202111144;NA4BCS0001-15SA;Base Experimental das Ciências Naturais A4-Noturno (Santo André)
11202111144;NA1BCL0306-15SA;Biodiversidade: Interações entre organismos e ambiente A1-Noturno (Santo André)
11202111144;NA1NHT1002-15SA;Bioética A1-Noturno (Santo André)
11202111144;NA1NHI5002-15SA;Didática A1-Noturno (Santo André)
11202111144;NA1ESTU039-17SA;Regulação Ambiental e Urbanística A1-Noturno (Santo André)
21043715;DA1NHI5002-15SB;Didática A1-Matutino (São Bernardo)
21043715;DA1BCN0402-15SB;Funções de Uma Variável A1-Matutino (São Bernardo)
21043715;DA2BCL0307-15SB;Transformações Químicas A2-Matutino (São Bernardo)
11108515;DA1NHT1072-15SA;Ecologia Comportamental A1-Matutino (Santo André)
11108515;NANHT1092-16SA;Fundamentos de Sistemática Vegetal A-Noturno (Santo André)
11108515;DA1NHT1059-15SA;Morfofisiologia Humana II A1-Matutino (Santo André)
11108515;DA1NHT1071-15SA;Práticas de Ecologia A1-Matutino (Santo André)
11201811806;NA2BCM0505-15SA;Processamento da Informação A2-Noturno (Santo André)
11202021487;NA1BCS0001-15SA;Base Experimental das Ciências Naturais A1-Noturno (Santo André)
11202021487;NB1BIQ0602-15SA;Estrutura e Dinâmica Social B1-Noturno (Santo André)
11202021487;NA2BCN0407-15SA;Funções de Várias Variáveis A2-Noturno (Santo André)
11202021487;NA3BCK0104-15SA;Interações Atômicas e Moleculares A3-Noturno (Santo André)
11202021851;DA2BHP0001-15SB;Ética e Justiça A2-Matutino (São Bernardo)
11202021851;DA1LHZ0021-19SB;História, Patrimônio e Memória A1-Matutino (São Bernardo)
11202021851;DA1LIE0001-19SB;Metodologias de Pesquisa em Educação A1-Matutino (São Bernardo)
11202021851;DA1NHZ5023-18SB;Práticas escolares em educação especial e inclusiva A1-Matutino (São Bernardo)
11202021851;DA1ESHR027-14SB;Trajetórias Internacionais do Continente Africano A1-Matutino (São Bernardo)
11201812044;NA1ESTU023-17SA;Biomas Brasileiros A1-Noturno (Santo André)
11201812044;NA1ESTG016-17SB;Qualidade em Sistemas A1-Noturno (São Bernardo)
11201812044;DA1ESZU030-17SA;Riscos no Ambiente Urbano A1-Matutino (Santo André)
11201812044;NA1ESHR016-13SB;Sistema Financeiro Internacional: de Bretton Woods ao non-sistema A1-Noturno (São Bernardo)
11201812044;DA1ESTA014-17SA;Sistemas CAD/CAM A1-Matutino (Santo André)
11202021736;NA1BIR0004-15SA;Bases Epistemológicas da Ciência Moderna A1-Noturno (Santo André)
11202021736;NB1BIR0603-15SA;Ciência, Tecnologia e Sociedade B1-Noturno (Santo André)
11201722506;DA1ESTE027-17SA;Laboratório de Calor e Fluidos A1-Matutino (Santo André)
11201921580;NA1ESHR005-13SB;Estado e Desenvolvimento Econômico no Brasil Contemporâneo A1-Noturno (São Bernardo)
11201921580;NA1BHO1102-19SB;Introdução à Economia A1-Noturno (São Bernardo)
11201921580;NA1ESHC025-17SB;Microeconomia I A1-Noturno (São Bernardo)
11202130454;NB2BCM0505-15SB;Processamento da Informação B2-Noturno (São Bernardo)
11202130454;NB1BCL0307-15SB;Transformações Químicas B1-Noturno (São Bernardo)
11032714;NA1ESTI015-17SA;Comunicações Móveis A1-Noturno (Santo André)
11080516;DA1BHO0102-15SB;Desenvolvimento e Sustentabilidade A1-Matutino (São Bernardo)
11080516;DA2ESTO013-17SB;Engenharia Econômica A2-Matutino (São Bernardo)
11080516;NA1MCZA032-17SA;Introdução à Programação de Jogos A1-Noturno (Santo André)
11080516;DA1MCTA016-13SA;Paradigmas de Programação A1-Matutino (Santo André)
11080516;NA1MCTA025-13SA;Sistemas Distribuídos A1-Noturno (Santo André)
11039014;DA1ESHC016-17SB;Finanças Corporativas A1-Matutino (São Bernardo)
11049015;DB1NHT5004-15SA;Educação Científica, Sociedade e Cultura B1-Matutino (Santo André)
11202022227;NB2BCS0001-15SA;Base Experimental das Ciências Naturais B2-Noturno (Santo André)
11202022227;NA1LIE0001-19SA;Metodologias de Pesquisa em Educação A1-Noturno (Santo André)
11202022227;NB1BCL0307-15SA;Transformações Químicas B1-Noturno (Santo André)
11201810612;DA2MCTA009-13SA;Computadores, Ética e Sociedade A2-Matutino (Santo André)
11201810612;NA1ESTG002-17SB;Desenvolvimento Integrado do Produto A1-Noturno (São Bernardo)
11201810612;NAMCZD002-18SA;Educação Estatística A-Noturno (Santo André)
11201810612;DA1ESTG005-17SB;Engenharia Econômica Aplicada a Sistemas de Gestão A1-Matutino (São Bernardo)
11201810612;DA2BHQ0002-15SB;Estudos Étnico-Raciais A2-Matutino (São Bernardo)
11201810612;NA1ESTG016-17SB;Qualidade em Sistemas A1-Noturno (São Bernardo)
11202021402;DA9BCJ0205-15SA;Fenômenos Térmicos A9-Matutino (Santo André)
11202021402;DC3BCL0307-15SA;Transformações Químicas C3-Matutino (Santo André)
21001616;NAESTS006-17SB;Laboratório de Guiagem, Navegação e Controle A-Noturno (São Bernardo)
11201921909;NB1ESHR005-13SB;Estado e Desenvolvimento Econômico no Brasil Contemporâneo B1-Noturno (São Bernardo)
11201921909;NA1ESHP012-13SB;Introdução ao Direito Administrativo A1-Noturno (São Bernardo)
11201921909;NA1ESZP029-13SB;Movimentos Sindicais, Sociais e Culturais A1-Noturno (São Bernardo)
11201921909;NA1ESZR018-14SB;Regimes de negociação comercial internacional e a atuação brasileira A1-Noturno (São Bernardo)
11201811305;DA1MCTA007-17SA;Compiladores A1-Matutino (Santo André)
11201811305;DA1MCTA016-13SA;Paradigmas de Programação A1-Matutino (Santo André)
11201811305;DC1ESTO012-17SA;Princípios de Administração C1-Matutino (Santo André)
11201811305;DA1BCS0002-15SB;Projeto Dirigido A1-Matutino (São Bernardo)
11201811305;DA2MCTA024-13SA;Sistemas Digitais A2-Matutino (Santo André)
11005813;NA1ESHP030-14SB;Planejamento Orçamentário A1-Noturno (São Bernardo)
11202020208;NA1BCS0001-15SA;Base Experimental das Ciências Naturais A1-Noturno (Santo André)
11202020208;DA1ESTO011-17SA;Fundamentos de Desenho Técnico A1-Matutino (Santo André)
11202020208;NA3BCK0104-15SA;Interações Atômicas e Moleculares A3-Noturno (Santo André)
11202020208;NA1BCN0405-15SA;Introdução às Equações Diferenciais Ordinárias A1-Noturno (Santo André)
11202020208;DA2ESTO012-17SA;Princípios de Administração A2-Matutino (Santo André)
11202020208;NAESTM013-17SA;Seleção de Materiais A-Noturno (Santo André)
11060816;DA1MCZA053-22SA;Desenvolvimento Guiado por Tipos A1-Matutino (Santo André)
11060816;NAMCTC014-13SA;Introdução à Inferência Estatística A-Noturno (Santo André)
11060816;NA1NHI5015-15SA;LIBRAS A1-Noturno (Santo André)
11060816;DA1ESZI041-18SA;Programação de Software Embarcado A1-Matutino (Santo André)
11201921732;NA1ESHR001-13SB;Análise da Conjuntura Internacional Contemporânea A1-Noturno (São Bernardo)
11201921732;NA1ESHP031-14SB;Avaliação e Monitoramento de Políticas Públicas A1-Noturno (São Bernardo)
11201921732;NA1ESZT022-17SB;Modelos Econômicos e Análise das Dinâmicas Territoriais A1-Noturno (São Bernardo)
11201921732;NA1ESZP008-13SB;Políticas Públicas de Gênero, Etnia e Geração A1-Noturno (São Bernardo)
21089015;DANHZ2107-18SB;Epistemologia Analítica A-Matutino (São Bernardo)
11201810444;DA1MCTA003-17SA;Análise de Algoritmos A1-Matutino (Santo André)
11201810444;DA2ESTO012-17SA;Princípios de Administração A2-Matutino (Santo André)
11201810444;DA2MCTA018-13SA;Programação Orientada a Objetos A2-Matutino (Santo André)
11201810444;DA1BCS0002-15SA;Projeto Dirigido A1-Matutino (Santo André)
11201810444;DA1MCTA025-13SA;Sistemas Distribuídos A1-Matutino (Santo André)
11202022107;NA3MCTA003-17SA;Análise de Algoritmos A3-Noturno (Santo André)
11201712913;NA1ESHC027-17SB;Economia Matemática A1-Noturno (São Bernardo)
11201712913;NA1ESHC022-17SB;Macroeconomia I A1-Noturno (São Bernardo)
11201712913;NA1ESHC025-17SB;Microeconomia I A1-Noturno (São Bernardo)
11201712913;NA1BHS0005-19SB;Práticas em Ciências e Humanidades A1-Noturno (São Bernardo)
11201822497;NB1BIQ0602-15SA;Estrutura e Dinâmica Social B1-Noturno (Santo André)
11201822497;NA1BCN0404-15SA;Geometria Analítica A1-Noturno (Santo André)
11201822497;NaESZE077-17SA;Redes de Distribuição de Energia Elétrica a-Noturno (Santo André)
11202020950;NB1ESHR005-13SB;Estado e Desenvolvimento Econômico no Brasil Contemporâneo B1-Noturno (São Bernardo)
11202020950;NA1ESHR024-14SB;História da Política Externa Brasileira A1-Noturno (São Bernardo)
11202020950;NA1BHQ0003-15SB;Interpretações do Brasil A1-Noturno (São Bernardo)
11202020950;NA1ESHR015-13SB;Segurança Internacional em Perspectiva Histórica e Desafios Contemporâneos A1-Noturno (São Bernardo)
11067713;NA1ESTG002-17SB;Desenvolvimento Integrado do Produto A1-Noturno (São Bernardo)
11067713;NA1ESZG010-17SB;Planejamento e Controle de Projetos A1-Noturno (São Bernardo)
11202130461;NA1BIS0003-15SB;Bases Matemáticas A1-Noturno (São Bernardo)
11202130461;NA3BCL0306-15SB;Biodiversidade: Interações entre organismos e ambiente A3-Noturno (São Bernardo)
11202130461;DA1BHQ0004-19SB;Estudos de Gênero A1-Matutino (São Bernardo)
11202130461;NA2BHQ0002-15SB;Estudos Étnico-Raciais A2-Noturno (São Bernardo)
11202130461;NA1BHP0001-15SB;Ética e Justiça A1-Noturno (São Bernardo)
11202130461;DA1BHQ0301-15SB;Território e Sociedade A1-Matutino (São Bernardo)
11202020639;NA3BIS0005-15SB;Bases Computacionais da Ciência A3-Noturno (São Bernardo)
11202020639;NA1ESHC007-21SB;Economia Brasileira I A1-Noturno (São Bernardo)
11202020639;NA1ESHC012-21SB;Economia Institucional A1-Noturno (São Bernardo)
11202020639;NA1ESHR005-13SB;Estado e Desenvolvimento Econômico no Brasil Contemporâneo A1-Noturno (São Bernardo)
11202020639;NA1BHQ0003-15SB;Interpretações do Brasil A1-Noturno (São Bernardo)
11201720544;NB2BCN0405-15SA;Introdução às Equações Diferenciais Ordinárias B2-Noturno (Santo André)
11201720544;NAESTO015-17SA;Mecânica dos Fluidos I A-Noturno (Santo André)
11201722601;NA1ESTG001-17SB;Custos A1-Noturno (São Bernardo)
11201722601;Da1ESTG025-17SA;Propriedade Intelectual a1-Matutino (Santo André)
11201722601;DA1ESTG020-17SB;Sistemas e Processos de Produção A1-Matutino (São Bernardo)
11066516;NA1ESTA018-17SA;Eletromagnetismo Aplicado A1-Noturno (Santo André)
11066516;NAESTA017-17SA;Laboratório de Máquinas Elétricas A-Noturno (Santo André)
11066516;DB1ESTA016-17SA;Máquinas Elétricas B1-Matutino (Santo André)
11066516;NB2ESTA003-17SA;Sistemas de Controle I B2-Noturno (Santo André)
11066516;NAESTO014-17SB;Termodinâmica Aplicada I A-Noturno (São Bernardo)
11201811750;NA1MCTA007-17SA;Compiladores A1-Noturno (Santo André)
11201811750;NA1MCZA008-17SA;Interação Humano-Computador A1-Noturno (Santo André)
11201811750;NA1MCZA017-13SA;Processamento de Linguagem Natural A1-Noturno (Santo André)
11201811750;NA1MCTA024-13SA;Sistemas Digitais A1-Noturno (Santo André)
21085114;NAMCTC014-13SA;Introdução à Inferência Estatística A-Noturno (Santo André)
21085114;NA1MCTC021-15SB;Introdução à Neurociência Computacional A1-Noturno (São Bernardo)
11065715;NA1ESTB025-17SB;Instrumentação Biomédica I A1-Noturno (São Bernardo)
11065715;NA1ESTB031-18SB;Métodos Matemáticos aplicados a Sistemas Biomédicos A1-Noturno (São Bernardo)
11065715;DA1ESTB024-17SB;Modelagem de Sistemas Dinâmicos II A1-Matutino (São Bernardo)
11202022228;DB1BIR0603-15SA;Ciência, Tecnologia e Sociedade B1-Matutino (Santo André)
11202022228;DA1BIQ0602-15SA;Estrutura e Dinâmica Social A1-Matutino (Santo André)
11202022228;DA2BCK0104-15SA;Interações Atômicas e Moleculares A2-Matutino (Santo André)
11202022228;DA5BCM0505-15SA;Processamento da Informação A5-Matutino (Santo André)
11041015;NA1ESTU025-17SA;Avaliação de Impactos Ambientais A1-Noturno (Santo André)
11041015;DAESZI034-17SA;Jogos Digitais: Aspectos Técnicos e Aplicações A-Matutino (Santo André)
11041015;NA1NHT1071-15SA;Práticas de Ecologia A1-Noturno (Santo André)
11202021076;DA3BIS0005-15SB;Bases Computacionais da Ciência A3-Matutino (São Bernardo)
11201811142;NA1BHQ0004-19SB;Estudos de Gênero A1-Noturno (São Bernardo)
11201811142;NB1ESHR903-18SB;Metodologia de Pesquisa em Relações Internacionais (TCC 1) B1-Noturno (São Bernardo)
11201811142;NA1ESZR017-14SB;Regimes de negociação ambiental internacional e a atuação brasileira A1-Noturno (São Bernardo)
11201811142;NA1ESHP021-13SB;Trajetórias das Políticas de CT&I no Brasil A1-Noturno (São Bernardo)
11201811142;NB1ESHR027-14SB;Trajetórias Internacionais do Continente Africano B1-Noturno (São Bernardo)
11201921595;DAMCTB009-17SA;Cálculo Numérico A-Matutino (Santo André)
11201921595;DA1BIR0603-15SA;Ciência, Tecnologia e Sociedade A1-Matutino (Santo André)
11201921595;DB1ESTO005-17SA;Introdução às Engenharias B1-Matutino (Santo André)
11201921595;DA1ESTO014-17SA;Termodinâmica Aplicada I A1-Matutino (Santo André)
11201921595;DB4BCL0307-15SA;Transformações Químicas B4-Matutino (Santo André)
11201810207;DA1ESTA004-17SA;Circuitos Elétricos II A1-Matutino (Santo André)
11201810207;DA2MCTA009-13SA;Computadores, Ética e Sociedade A2-Matutino (Santo André)
11201810207;DA1ESTI002-17SA;Eletrônica Digital A1-Matutino (Santo André)
11201810207;NB3BCM0505-15SA;Processamento da Informação B3-Noturno (Santo André)
21071815;DA1ESZU006-17SA;Economia, Sociedade e Meio Ambiente A1-Matutino (Santo André)
21071815;NA1ESTU031-17SA;Recuperação de Áreas Degradadas A1-Noturno (Santo André)
21071815;NA1ESTU038-17SA;Tratamento de Águas Urbanas Servidas A1-Noturno (Santo André)
21071815;NA1ESZU021-17SA;Unidades de Conservação da Natureza A1-Noturno (Santo André)
11201810534;NA1MCTA007-17SA;Compiladores A1-Noturno (Santo André)
11201810534;NA2MCTA018-13SA;Programação Orientada a Objetos A2-Noturno (Santo André)
11201810534;NA2MCTA024-13SA;Sistemas Digitais A2-Noturno (Santo André)
11201922177;DA1NHZ3076-15SA;Eletromagnetismo III A1-Matutino (Santo André)
11201922177;DA1NHZ3026-15SA;Introdução à Física Nuclear A1-Matutino (Santo André)
11201922177;NA1NHT3028-15SA;Laboratório de Física II A1-Noturno (Santo André)
11201922177;NA1NHT3065-15SA;Laboratório de Física III A1-Noturno (Santo André)
11201922177;NA1NHT3073-15SA;Mecânica Quântica II A1-Noturno (Santo André)
11067408;NC1NHT5004-15SA;Educação Científica, Sociedade e Cultura C1-Noturno (Santo André)
11067408;DAMCZB029-17SA;Teoria Aritmética dos Números II A-Matutino (Santo André)
11202111955;NA1BIR0603-15SA;Ciência, Tecnologia e Sociedade A1-Noturno (Santo André)
11202111955;DB3BCJ0205-15SA;Fenômenos Térmicos B3-Matutino (Santo André)
11202111955;DB6BCM0505-15SA;Processamento da Informação B6-Matutino (Santo André)
11202111955;DB5BCL0307-15SA;Transformações Químicas B5-Matutino (Santo André)
11202130466;DA2BCJ0205-15SA;Fenômenos Térmicos A2-Matutino (Santo André)
11202130466;DA1BCN0407-15SA;Funções de Várias Variáveis A1-Matutino (Santo André)
11202130466;DB1ESTO005-17SA;Introdução às Engenharias B1-Matutino (Santo André)
11202130466;DA5BCM0505-15SA;Processamento da Informação A5-Matutino (Santo André)
11202130466;DA6BCL0307-15SA;Transformações Químicas A6-Matutino (Santo André)
21013810;DA1MCTA009-13SA;Computadores, Ética e Sociedade A1-Matutino (Santo André)
11201920605;NA1ESTO008-17SA;Mecânica dos Sólidos I A1-Noturno (Santo André)
11201920605;NA2ESTO017-17SA;Métodos Experimentais em Engenharia A2-Noturno (Santo André)
11201920605;DB1BCS0002-15SB;Projeto Dirigido B1-Matutino (São Bernardo)
11201920605;NAESTO014-17SB;Termodinâmica Aplicada I A-Noturno (São Bernardo)
11202131270;NB1BIR0004-15SA;Bases Epistemológicas da Ciência Moderna B1-Noturno (Santo André)
11202131270;NA4BCJ0204-15SA;Fenômenos Mecânicos A4-Noturno (Santo André)
11202131270;NA2ESTO011-17SA;Fundamentos de Desenho Técnico A2-Noturno (Santo André)
21004714;NA1ESZR006-13SB;Dinâmica e Desafios dos Processos Migratórios A1-Noturno (São Bernardo)
21004714;DANHH2026-13SB;Filosofia no Brasil e na América Latina A-Matutino (São Bernardo)
11023114;NB1BCJ0204-15SA;Fenômenos Mecânicos B1-Noturno (Santo André)
11023114;NA1NHT1054-15SA;Histologia e Embriologia A1-Noturno (Santo André)
11023114;DA1NHT1063-15SA;Zoologia de Invertebrados I A1-Matutino (Santo André)
11085610;NBMCTB010-13SA;Cálculo Vetorial e Tensorial B-Noturno (Santo André)
11085610;NAESTS004-17SB;Desempenho de Aeronaves A-Noturno (São Bernardo)
11085610;DAESTS005-17SB;Dinâmica e Controle de Veículos Espaciais A-Matutino (São Bernardo)
11085610;NAESTS006-17SB;Laboratório de Guiagem, Navegação e Controle A-Noturno (São Bernardo)
11085610;NAESTS013-17SB;Projeto de Elementos Estruturais de Aeronaves I A-Noturno (São Bernardo)
11201822418;DAMCTB001-17SA;Álgebra Linear A-Matutino (Santo André)
11201822418;DA2ESTO013-17SB;Engenharia Econômica A2-Matutino (São Bernardo)
11201822418;NAESTM005-17SA;Materiais Metálicos A-Noturno (Santo André)
11201822418;NAESTM006-17SA;Materiais Poliméricos A-Noturno (Santo André)
11201822418;NIESTO008-17SB;Mecânica dos Sólidos I I-Noturno (São Bernardo)
11110414;NAMCTB001-17SB;Álgebra Linear A-Noturno (São Bernardo)
11110414;NBMCTB009-17SA;Cálculo Numérico B-Noturno (Santo André)
11110414;NAESTO016-17SA;Fenômenos de Transporte A-Noturno (Santo André)
11201922018;NA1BHQ0001-15SB;Identidade e Cultura A1-Noturno (São Bernardo)
