RA;TURMA;TURMA_NOME
11201723015;DANHZ6003-18SA;Nanobiotecnologia A-Matutino (Santo André)
11201723015;DANHZ6006-18SA;Proteínas Recombinantes A-Matutino (Santo André)
11201723015;NA1NHZ6007-18SA;Segurança e Regulamentação em Biotecnologia A1-Noturno (Santo André)
11201723015;DA1NHZ6002-18SA;Tecnologia de Fermentações A1-Matutino (Santo André)
11202131095;DB1BIS0003-15SB;Bases Matemáticas B1-Matutino (São Bernardo)
11202131095;DB1BCL0306-15SB;Biodiversidade: Interações entre organismos e ambiente B1-Matutino (São Bernardo)
11202131095;DA1BHO1102-19SB;Introdução à Economia A1-Matutino (São Bernardo)
11202131095;DA1BIN0406-15SB;Introdução à Probabilidade e à Estatística A1-Matutino (São Bernardo)
11201920527;DA1ESTA004-17SA;Circuitos Elétricos II A1-Matutino (Santo André)
11201920527;NAESTO013-17SA;Engenharia Econômica A-Noturno (Santo André)
11201920527;DAESTI006-17SA;Processamento Digital de Sinais A-Matutino (Santo André)
11201920527;DAESTA003-17SA;Sistemas de Controle I A-Matutino (Santo André)
11201810602;NAESTE037-17SA;Análise Econômica de Projetos Energéticos A-Noturno (Santo André)
11201810602;NAESTA011-17SA;Automação de Sistemas Industriais A-Noturno (Santo André)
11201810602;NA1ESTG003-17SB;Economia de Empresas A1-Noturno (São Bernardo)
11201810602;NB1ESTO902-17SA;Engenharia Unificada I B1-Noturno (Santo André)
11201810602;NA1ESZG032-17SB;Modelos e Ferramentas de Gestão Ambiental A1-Noturno (São Bernardo)
11201810602;DA1ESTU031-17SA;Recuperação de Áreas Degradadas A1-Matutino (Santo André)
11084213;NAMCTB010-13SB;Cálculo Vetorial e Tensorial A-Noturno (São Bernardo)
11084213;DAESTO015-17SB;Mecânica dos Fluidos I A-Matutino (São Bernardo)
21070214;DA2NHI5002-15SA;Didática A2-Matutino (Santo André)
21070214;NA1NHH2023-16SB;Filosofia do Ensino de Filosofia A1-Noturno (São Bernardo)
21070214;DANHZ2133-18SB;Filosofia e Teatro A-Matutino (São Bernardo)
21070214;NANHH2040-13SB;História da Filosofia Moderna: o Iluminismo e seus desdobramentos A-Noturno (São Bernardo)
11202020061;NA1BCS0001-15SB;Base Experimental das Ciências Naturais A1-Noturno (São Bernardo)
11202020061;NB1BCK0104-15SB;Interações Atômicas e Moleculares B1-Noturno (São Bernardo)
11202020061;NB2BCN0405-15SA;Introdução às Equações Diferenciais Ordinárias B2-Noturno (Santo André)
11202020061;DA2ESTO012-17SA;Princípios de Administração A2-Matutino (Santo André)
11201723022;DA1ESTB005-17SB;Ciência dos Materiais Biocompatíveis A1-Matutino (São Bernardo)
11201723022;NA2ESTB025-17SB;Instrumentação Biomédica I A2-Noturno (São Bernardo)
11201723022;NA1ESTB031-18SB;Métodos Matemáticos aplicados a Sistemas Biomédicos A1-Noturno (São Bernardo)
11201723022;DA1ESZB016-17SB;Telemedicina e Sistemas de Apoio a Decisão A1-Matutino (São Bernardo)
11202022138;NA1MCZD004-18SA;Matemática nos anos iniciais A1-Noturno (Santo André)
11202022138;NB1LIE0001-19SA;Metodologias de Pesquisa em Educação B1-Noturno (Santo André)
11201811299;NAESTE037-17SA;Análise Econômica de Projetos Energéticos A-Noturno (Santo André)
11201811299;DA1ESTG005-17SB;Engenharia Econômica Aplicada a Sistemas de Gestão A1-Matutino (São Bernardo)
11201811299;NA1ESZG032-17SB;Modelos e Ferramentas de Gestão Ambiental A1-Noturno (São Bernardo)
11201811299;DA1ESZG012-17SB;Projetos Industriais A1-Matutino (São Bernardo)
